sentence frame,biasing context,biasing context distance,sentence,# syllables distance (from after target word to first syllable of context word),Used in Experiments 1-2,Used in Experiments 3-4
1,tent,short,"When the tent in the forest was well camouflaged, we began our hike.",3,Y,Y
1,tent,long,"When the tent was noticed in the forest, we stopped to rest.",6,Y,Y
1,dent,short,"When the dent in the fender was well camouflaged, we sold the car.",3,Y,Y
1,dent,long,"When the dent was noticed in the fender, we sold the car.",6,Y,Y
2,tent,short,"Because the tent in John's backpack had a few holes, he had to patch it.",3,Y,Y
2,tent,long,"Because the tent that was found in John's backpack had a few holes, he had to patch it.",6,Y,Y
2,dent,short,"Because the dent in John's bumper was very small, he decided not to fix it.",3,Y,Y
2,dent,long,"Because the dent that was found in John's bumper was very small, he decided not to fix it.",6,Y,Y
3,tent,short,"After the tent in the campgrounds collapsed, we went to a hotel.",3,Y,Y
3,tent,long,"After the tent Sue had found in the campgrounds collapsed, we went to a hotel.",6,Y,Y
3,dent,short,"After the dent in the teapot was noticed, we threw it away.",3,Y,Y
3,dent,long,"After the dent Sue had found in the teapot was noticed, we threw it away.",6,Y,Y
4,tent,short,"Since the tent John had bought was too small, the wedding guests had to stand in the rain.",3,Y,Y
4,tent,long,"Since the tent John had mistakenly bought was too small, the wedding guests had to stand in the rain.",7,Y,Y
4,dent,short,"Since the dent John had caused was very large, he had to have it fixed.",3,Y,Y
4,dent,long,"Since the dent John had mistakenly caused was very large, he had to have it fixed.",7,Y,Y
5,tent,short,"Since the tent in the woods was so large, it slept the whole family.",3,Y,Y
5,tent,long,"Since the tent is so deep in the woods, it is difficult to find.",6,Y,Y
5,dent,short,"Since the dent in the bike was so large, we took it to the shop.",3,Y,Y
5,dent,long,"Since the dent is so deep in the bike, the frame has rusted through.",6,Y,Y
6,tent,short,"Because the tent on the mountain was so hard to find, we had to point it out.",3,Y,Y
6,tent,long,"Because the tent was so hard to find on the mountain, we had to point it out.",8,Y,Y
6,dent,short,"Because the dent on the pickup was so hard to find, we had to point it out.",3,Y,Y
6,dent,long,"Because the dent was so hard to find on the pickup, we had to point it out.",8,Y,Y
7,tent,short,"When the tent at the campground was repaired, it was ready to be used.",3,Y,Y
7,tent,long,"When the tent was repaired at the campground, it was ready to be used.",6,Y,Y
7,dent,short,"When the dent at the bodyshop was repaired, we received the final bill.",3,Y,Y
7,dent,long,"When the dent was repaired by the bodyshop, we received the final bill.",6,Y,Y
8,tent,short,"Since the tent at the camp was removed, we were able to leave.",3,N,Y
8,tent,long,"Since the tent was removed from the camp, we were able to leave.",6,N,Y
8,dent,short,"Since the dent in the bucket was removed, it has stopped leaking.",3,N,Y
8,dent,long,"Since the dent was removed from the bucket, it has stopped leaking.",6,N,Y
9,tent,short,"After seeing the tent on the hill yesterday, we decided to camp at the bottom.",3,N,Y
9,tent,long,"After seeing the tent yesterday on the hill, we (chose) to camp at the bottom.",6,N,Y
9,dent,short,"After seeing the dent on the fender yesterday, we managed to fix it.",3,N,Y
9,dent,long,"After seeing the dent yesterday on the fender, we managed to fix it.",6,N,Y
10,tent,short,"Since the tent in the trees was hard to find, no one noticed us.",3,N,Y
10,tent,long,"Since the tent was hard to find in the trees, no one (found) us.",7,N,Y
10,dent,short,"Since the dent in the door was hard to find, we never fixed it.",3,N,Y
10,dent,long,"Since the dent was hard to find in the door, we never fixed it.",7,N,Y
